brand,review_count,product_count,avg_rating,negative_review_ratio,verified_purchase_ratio
Unknown,7298,3575,3.808,0.229,0.869
SALUX,367,8,4.627,0.06,0.965
PHILIPS,362,43,4.105,0.138,0.713
Bath & Body Works,354,199,4.551,0.073,0.975
Segbeauty,320,14,4.472,0.097,0.984
Lume,305,19,3.669,0.298,0.944
Premium Nature,296,14,4.068,0.166,0.696
WILLBOND,285,173,3.67,0.27,0.979
KISS,273,88,4.238,0.128,0.945
Soft 'N Style,272,17,4.283,0.118,0.949
AVON,272,125,4.489,0.077,0.967
YMHPRIDE,266,99,4.105,0.177,0.985
TIGI,248,32,4.577,0.073,0.984
Godefroy,248,2,4.185,0.129,0.972
EBOOT,236,46,4.331,0.114,0.97
GranNaturals,216,1,3.801,0.25,0.921
Teenitor,215,39,4.265,0.107,0.972
Tarte,213,70,4.357,0.08,0.934
Harlorki,209,1,4.019,0.148,0.986
R-NEU,207,1,4.357,0.111,1.0
