brand,review_count,product_count,avg_rating,negative_review_ratio
Naland,15,2,1.6,0.933
UKKUER,10,1,1.4,0.9
AMONE,11,1,2.0,0.818
Addie,20,4,1.65,0.8
TOUCHBeauty,15,5,1.8,0.8
MEEYEE,11,4,1.818,0.727
Flents,10,2,2.2,0.7
HSKIE,10,3,2.0,0.7
Hasoar,10,7,2.3,0.7
Allnice,24,5,2.333,0.667
NW VONAR HAIR,12,7,2.167,0.667
Arishine,20,4,2.1,0.65
ANCAI,11,2,2.182,0.636
LIBAO,11,1,2.364,0.636
QUNGCO,11,1,2.545,0.636
soyond,11,4,2.727,0.636
Plexaderm,18,6,2.444,0.611
MAKJUNS,25,2,2.44,0.6
Inscape Data,10,8,2.5,0.6
Rednow,17,6,2.588,0.588
