product_id,product_title,brand,review_count,avg_rating,negative_review_ratio,verified_purchase_ratio
B07RX6429D,"Magnetic Eyeliner With Magnetic Eyelashes, Magnetic Lashliner For Use with Magnetic False Lashes",Naland,11,1.364,1.0,0.909
B07MP69QK1,[2Pack] Galaxy Note 9 Screen Protector[Case Friendly][Anti-Bubble][HD Clear] Tempered Glass Screen Protector Compatible with Samsung Galaxy Note9,Unknown,6,1.167,1.0,1.0
B07VM8C6M1,"Professional Magic Nail Polish Remover Removes Soak-Off Gel Nail Polish In 3-5 Minutes, Easily & Quickly, Don't Hurt Your Nails",Beauty Glazed,6,1.0,1.0,0.667
B00FJPMNEM,Best Anti Aging Vitamin C Creams with Super Fine Natural Hydrolized Collagen Types 1 & 3 - Moisturizers for Men and Women 35+,Unknown,5,1.4,1.0,0.2
B08X75R4JL,"2pcs Green Tea Purifying Clay Mask Stick, Facial Moisturizing, Oil Control, Deep Cleansing Pores, Improving Skin, Suitable For All Skin Types Men And Women",UKKUER,10,1.4,0.9,1.0
B07WDJB6BH,Allnice Magnetic Eyelashes Dual Magnets False Eyelashes Reusable 3D No Glue 3 Fake Lashes Extension with Tweezers for Women Makeup Natural Look 8 Pieces / 2 Pairs,Allnice,18,1.611,0.889,1.0
B076N2VJ53,"Ultimate Dual Magnetic False Eyelashes Extension Set (8 pieces) - Full Size and Half Size Fake Lashes in One Set with Applicator - Best Reusable and Easy to Apply Ultra Thin Magnets, Natural Look",Unknown,9,1.444,0.889,0.889
B07VHNQHBN,"Gel Nail Polish Remover, Soak-Off Gel Polish Remover Professional Removes Soak-Off Gel Polish In 2-5 Minutes Easily & Quickly Don't Hurt Your Nails",ALIVER,8,1.625,0.875,1.0
B086JL8X97,"Mifelio Hair Darkening Shampoo Bar, Natural Organic Conditioner and Repair Essence,Volumizing & Moisturizing, Black Hair Shampoo Non Allergic Hair",Mifelio,7,1.857,0.857,0.857
B09GTZ6GQG,Eyebrow Stamp Stencil Kit Brow Stamp And Shaping Kit One Step Brow Stamp Kit Waterproof Eyebrow Stamp On Eyebrows Hairline Brow Stamp (Dark Brown),HSKIE,7,1.571,0.857,1.0
B01A0P5B4E,36 Colors Waterproof Liquid Makeup Lip Stick Lip Pencil Lipstick Lip Gloss Pen,Unknown,6,1.5,0.833,0.833
B06XKDDYVH,Momi Premium Tooth Polisher,Momi Whitening,6,1.667,0.833,0.833
B075YZB74T,"Eyelash Growth Serum NewHM Natural Eyelash Enhancers & Eyebrow Growth Serum for Longer, Luscious Lashes (5ml)",NewHM,6,1.667,0.833,1.0
B07KYWYWM5,"Lash Growth Serum - Best Eyelash Growth Serum For Fuller & Thicker Lashes & Brows - Supports Eyelash Growth, Eyebrow Growth, Thinning Lashes, Supports Lash Boost - Perfectly Formulated For Results",Unknown,6,1.833,0.833,1.0
B07TKTMFHK,Magnetic Eyelashes with Magnetic Eyeliner - Magnetic Eyeliner and Eyelashes No Glue Silk Magnetic Lashes and Magnetic Eyeliner Natural Look Reusable Eyelashes Eye Liner (Diamond ZG-2),soyond,6,2.167,0.833,0.667
B088PYN4VM,"Cutting Scissors Set 10 Pcs Professional Hairdressing Scissors Kit, Hair Cutting Scissors, Thinning Shears, Hair Razor Comb, Clips, Cape, Shears Kit for Home, Salon, Barber",P.travel,6,2.0,0.833,0.5
B08JCX52M9,"Automatic Curling Iron, Cordless Auto Curler Rechargeable Auto Curler with LCD Display Professional Ceramic Barrel Curling Wand Fast Heating Hair Culer1",Qikafan,6,1.667,0.833,1.0
B092KJHSCV,"Triple Magnetic Eyelashes, Segmented False Eyelashes, 3D Reusable Eyelashes with Applicator Kit, No Glue, Easy to Apply, Light weight, Natural Look, (8 PC with Tweezer, 1.14 inch/29 mm)",Miracolove,6,2.0,0.833,1.0
B09KPBL1GH,"Lip Plumper Set Natural Lip Gloss Oil No Burn No Hurt Lip Care Enhancer for Fuller Lip Treatment, Upgrade Design for Giving You Girlish Lip",Marine Forest,6,1.5,0.833,0.333
B075L6R3TZ,"Hair Waver,Beach Curls Curling Iron,Professional Barrel Hair Curling Iron Hair Waver Curling Wand… (Black red)",AMONE,11,2.0,0.818,0.818
