review_month,monthly_review_count,monthly_avg_rating,monthly_negative_ratio,monthly_helpful_vote
2001-03,1,5.0,0.0,7
2001-09,1,5.0,0.0,3
2002-12,1,3.0,0.0,8
2003-02,1,5.0,0.0,6
2003-03,1,5.0,0.0,3
2003-04,1,5.0,0.0,52
2003-05,1,4.0,0.0,5
2003-09,1,4.0,0.0,7
2004-01,2,5.0,0.0,24
2004-02,3,3.667,0.333,62
2004-03,2,4.5,0.0,3
2004-05,1,4.0,0.0,26
2004-07,1,5.0,0.0,11
2004-08,2,4.5,0.0,50
2004-09,4,3.25,0.5,86
2004-10,2,3.0,0.0,18
2004-11,2,1.5,1.0,17
2004-12,3,3.0,0.667,39
2005-02,2,4.0,0.0,9
2005-03,1,1.0,1.0,2
2005-04,1,5.0,0.0,5
2005-05,2,4.5,0.0,7
2005-06,3,2.667,0.667,35
2005-07,3,4.667,0.0,20
2005-08,6,4.667,0.0,743
2005-09,3,4.0,0.0,22
2005-10,4,4.25,0.25,35
2005-11,2,2.5,0.5,20
2005-12,3,4.667,0.0,8
2006-01,2,4.5,0.0,12
2006-02,7,2.857,0.571,34
2006-03,7,4.143,0.0,25
2006-04,5,4.8,0.0,40
2006-05,1,5.0,0.0,1
2006-06,2,3.0,0.5,59
2006-07,3,4.333,0.0,13
2006-08,2,5.0,0.0,5
2006-09,3,4.0,0.0,13
2006-10,3,4.0,0.0,24
2006-11,7,4.143,0.0,54
2006-12,4,3.75,0.25,16
2007-01,26,4.462,0.077,81
2007-02,4,4.5,0.0,11
2007-03,7,4.0,0.143,46
2007-04,5,4.0,0.0,21
2007-05,11,4.545,0.0,46
2007-06,8,4.875,0.0,32
2007-07,8,3.75,0.25,57
2007-08,8,4.125,0.125,23
2007-09,5,3.8,0.2,2
2007-10,3,4.333,0.0,3
2007-11,12,4.25,0.083,23
2007-12,17,4.176,0.059,49
2008-01,16,4.313,0.125,6
2008-02,7,3.714,0.143,32
2008-03,16,3.875,0.25,89
2008-04,6,4.5,0.0,15
2008-05,10,4.3,0.0,18
2008-06,11,4.636,0.0,44
2008-07,13,3.538,0.231,12
2008-08,13,4.308,0.0,13
2008-09,8,4.5,0.0,5
2008-10,10,3.5,0.3,19
2008-11,6,3.667,0.167,11
2008-12,12,4.083,0.167,25
2009-01,10,4.2,0.1,1
2009-02,5,4.2,0.2,6
2009-03,5,4.0,0.0,8
2009-04,10,3.9,0.2,10
2009-05,5,4.4,0.2,7
2009-06,7,4.286,0.0,15
2009-07,8,4.375,0.125,14
2009-08,9,4.556,0.0,42
2009-09,9,4.444,0.111,4
2009-10,11,4.636,0.0,22
2009-11,10,4.3,0.0,7
2009-12,22,4.0,0.182,25
2010-01,17,4.471,0.118,22
2010-02,11,3.818,0.273,12
2010-03,15,4.6,0.067,27
2010-04,17,4.529,0.118,31
2010-05,11,4.455,0.182,41
