product_id,product_title,brand,review_count,avg_rating,negative_review_ratio,verified_purchase_ratio,avg_review_length
B085BB7B1M,Salux Nylon Japanese Beauty Skin Bath Wash Cloth/towel (3) Blue Yellow and Pink,SALUX,328,4.622,0.061,0.97,223.674
B07C533XCW,Segbeauty empty bottle 160083,Segbeauty,198,4.51,0.086,0.98,136.46
B09C2ZW2GL,Tigi Bedhead Hard Head Hairspray (6 Pack),TIGI,145,4.648,0.055,1.0,124.2
B09X9BG4FC,Makone Crystal Crowns and Tiaras with Comb Headband for Girl or Women Birthday Party Wedding Prom Bridal Christmas Valentine… (03 Pink),Makone,144,4.535,0.076,0.965,141.194
B0C9CWKY9G,Picoway 20 Pack Mouse Ears Solid Black and Red Bow Headband,Picoway,123,4.87,0.008,0.992,125.171
B01DUYNJL4,Listerine Pump for 1.5 or 1 Liter Bottles (1 Pump),Nuonove,102,4.627,0.029,1.0,154.716
B01BJCLNIA,"Organic Castor Oil - Boost Hair Growth for Hair, Eyelashes & Eyebrows. USDA Certified Organic, 100% Pure, Cold Pressed, Hexane Free. Eyelash Growth Serum & Brow Treatment with Applicator Kit",RejuveNaturals,92,4.554,0.065,0.935,189.978
B0BV1FPZY6,"SAUCE BEAUTY Guacamole Whip Hair Mask - Deep Conditioning Hair Mask for All Hair Types w/Avocado, Honey & Argan Oil - 12 Fl Oz Hair Mask for Dry, Damaged & Frizzy Hair (Guacamole)",SAUCE BEAUTY,85,4.718,0.047,0.953,262.353
B01I2MU2JQ,"Sky Organics Fractionated Coconut Oil for Body & Face, 100% Pure to Condition, Soften & Smooth, 16 fl. Oz",Sky Organics,78,4.769,0.013,0.641,277.385
B07TLMZL3T,Segbeauty empty bottle 290,TruuMe,77,4.571,0.078,0.909,226.351
B0B96MFXSJ,"PURE ORIGINAL INGREDIENTS Vegetable Glycerin (16 fl oz) Food Grade, Vegan, Hypoallergenic, Odorless, Colorless",PURE ORIGINAL INGREDIENTS,75,4.653,0.053,0.973,102.827
B00A0RUGPM,"KISS Heat Resistant Hair Tools Mat, 100% Silicone Protection up to 480°F, Non-Slip, Weight 0.45 Pounds, 10 inches x 10 inches, Black",KISS,74,4.676,0.027,0.959,176.351
B0BTLTVR1X,"Zydeco Chop Chop Cajun Seasoning Base, 8 Ounce Resealable Bags (Pack of Two - 1 Pound Total)",BORELTH,72,4.778,0.028,0.931,126.5
B0067BAIM6,Emjoi Micro-Pedi POWER Pro Callus Remover,Emjoi,67,4.582,0.06,0.881,201.388
B08F4Q8ZBR,YMHPRIDE 4 Pieces Stretch Jersey Turban Head Wrap Knit Headwraps Urban Hair Scarf Solid Color Extra Long Hair Scarf Urban African Head Wrap Head Band Ultra Breathable Soft Turban Tie for Women,YMHPRIDE,67,4.552,0.075,0.97,117.701
B000GBMYC0,"Braun 8000 360 Complete Foil/Cutter Block for Models 8995, 8985, 8975",Braun,64,4.578,0.078,0.953,161.938
B014I0FDVI,"OCuSOFT Oust Demodex Cleanser Extra Strength Foam 50 Milliliters, Tea Tree Oil Foaming Cleanser for Irritated Eyelids Associated with Demodex Mites",OCuSOFT,64,4.563,0.063,1.0,257.516
B07KDNK11M,"Chialstar (2 Pack) Shampoo Brush | Hair Scalp Massager, Soft Silicone Scalp Care Brush [Wet & Dry] Perfect for Men, Women, Kids and Pets (Pink/Green)",Chialstar,62,4.532,0.081,1.0,162.855
B07MD79GK8,"xo, Fetti Dinosaur Temporary Tattoos for Kids - 40 styles | Birthday Party Supplies, Dinosaur Party Favors, T-rex Decorations","xo, Fetti",61,4.689,0.066,0.951,143.82
B07WVBDLG9,7Rainbows 10pcs Girls Unicorn Hair Bows On Headband Pineapple Hair Hoop Princess Dance Headbands.,7Rainbows,58,4.655,0.017,1.0,110.431
